v,T
4.00383e+03,1.00000e+00
4.00384e+03,1.00000e+00
4.00385e+03,1.00000e+00
4.00386e+03,1.00000e+00
4.00387e+03,1.00000e+00
4.00388e+03,1.00000e+00
4.00389e+03,1.00000e+00
4.00390e+03,1.00000e+00
4.00391e+03,1.00000e+00
4.00392e+03,1.00000e+00
4.00393e+03,1.00000e+00
4.00394e+03,1.00000e+00
4.00395e+03,1.00000e+00
4.00396e+03,1.00000e+00
4.00397e+03,1.00000e+00
4.00398e+03,1.00000e+00
4.00399e+03,1.00000e+00
4.00400e+03,1.00000e+00
4.00401e+03,1.00000e+00
4.00402e+03,1.00000e+00
4.00403e+03,1.00000e+00
4.00404e+03,1.00000e+00
4.00405e+03,1.00000e+00
4.00406e+03,1.00000e+00
4.00407e+03,1.00000e+00
4.00408e+03,1.00000e+00
4.00409e+03,1.00000e+00
4.00410e+03,1.00000e+00
4.00411e+03,1.00000e+00
4.00412e+03,1.00000e+00
4.00413e+03,1.00000e+00
4.00414e+03,1.00000e+00
4.00415e+03,1.00000e+00
4.00416e+03,1.00000e+00
4.00417e+03,1.00000e+00
4.00418e+03,1.00000e+00
4.00419e+03,1.00000e+00
4.00420e+03,1.00000e+00
4.00421e+03,1.00000e+00
4.00422e+03,1.00000e+00
4.00423e+03,1.00000e+00
4.00424e+03,1.00000e+00
4.00425e+03,1.00000e+00
4.00426e+03,1.00000e+00
4.00427e+03,1.00000e+00
4.00428e+03,1.00000e+00
4.00429e+03,1.00000e+00
4.00430e+03,1.00000e+00
4.00431e+03,1.00000e+00
4.00432e+03,1.00000e+00
4.00433e+03,1.00000e+00
4.00434e+03,1.00000e+00
4.00435e+03,1.00000e+00
4.00436e+03,1.00000e+00
4.00437e+03,1.00000e+00
4.00438e+03,1.00000e+00
4.00439e+03,1.00000e+00
4.00440e+03,1.00000e+00
4.00441e+03,1.00000e+00
4.00442e+03,1.00000e+00
4.00443e+03,1.00000e+00
4.00444e+03,1.00000e+00
4.00445e+03,1.00000e+00
4.00446e+03,1.00000e+00
4.00447e+03,1.00000e+00
4.00448e+03,1.00000e+00
4.00449e+03,1.00000e+00
4.00450e+03,1.00000e+00
4.00451e+03,1.00000e+00
4.00452e+03,1.00000e+00
4.00453e+03,1.00000e+00
4.00454e+03,1.00000e+00
4.00455e+03,1.00000e+00
4.00456e+03,1.00000e+00
4.00457e+03,1.00000e+00
4.00458e+03,1.00000e+00
4.00459e+03,1.00000e+00
4.00460e+03,9.99999e-01
4.00461e+03,9.99999e-01
4.00462e+03,9.99998e-01
4.00463e+03,9.99998e-01
4.00464e+03,9.99997e-01
4.00465e+03,9.99997e-01
4.00466e+03,9.99998e-01
4.00467e+03,9.99999e-01
4.00468e+03,9.99999e-01
4.00469e+03,9.99999e-01
4.00470e+03,1.00000e+00
4.00471e+03,1.00000e+00
4.00472e+03,1.00000e+00
4.00473e+03,1.00000e+00
4.00474e+03,1.00000e+00
4.00475e+03,1.00000e+00
4.00476e+03,1.00000e+00
4.00477e+03,1.00000e+00
4.00478e+03,1.00000e+00
4.00479e+03,1.00000e+00
4.00480e+03,1.00000e+00
4.00481e+03,1.00000e+00
4.00482e+03,1.00000e+00
4.00483e+03,1.00000e+00
4.00484e+03,1.00000e+00
4.00485e+03,1.00000e+00
4.00486e+03,1.00000e+00
4.00487e+03,1.00000e+00
4.00488e+03,1.00000e+00
4.00489e+03,1.00000e+00
4.00490e+03,1.00000e+00
4.00491e+03,1.00000e+00
4.00492e+03,1.00000e+00
4.00493e+03,1.00000e+00
4.00494e+03,1.00000e+00
4.00495e+03,1.00000e+00
4.00496e+03,1.00000e+00
4.00497e+03,1.00000e+00
4.00498e+03,1.00000e+00
4.00499e+03,1.00000e+00
4.00500e+03,1.00000e+00
4.00501e+03,1.00000e+00
4.00502e+03,1.00000e+00
4.00503e+03,1.00000e+00
4.00504e+03,1.00000e+00
4.00505e+03,1.00000e+00
4.00506e+03,1.00000e+00
4.00507e+03,1.00000e+00
4.00508e+03,1.00000e+00
4.00509e+03,1.00000e+00
4.00510e+03,1.00000e+00
4.00511e+03,1.00000e+00
4.00512e+03,1.00000e+00
4.00513e+03,1.00000e+00
4.00514e+03,1.00000e+00
4.00515e+03,1.00000e+00
4.00516e+03,1.00000e+00
4.00517e+03,1.00000e+00
4.00518e+03,1.00000e+00
4.00519e+03,1.00000e+00
4.00520e+03,1.00000e+00
4.00521e+03,1.00000e+00
4.00522e+03,1.00000e+00
4.00523e+03,1.00000e+00
4.00524e+03,1.00000e+00
4.00525e+03,1.00000e+00
4.00526e+03,1.00000e+00
4.00527e+03,1.00000e+00
4.00528e+03,1.00000e+00
4.00529e+03,1.00000e+00
4.00530e+03,1.00000e+00
4.00531e+03,1.00000e+00
4.00532e+03,1.00000e+00
4.00533e+03,1.00000e+00
4.00534e+03,1.00000e+00
4.00535e+03,1.00000e+00
4.00536e+03,1.00000e+00
4.00537e+03,1.00000e+00
4.00538e+03,1.00000e+00
4.00539e+03,1.00000e+00
4.00540e+03,1.00000e+00
4.00541e+03,1.00000e+00
4.00542e+03,1.00000e+00
4.00543e+03,1.00000e+00
4.00544e+03,1.00000e+00
4.00545e+03,1.00000e+00
4.00546e+03,1.00000e+00
4.00547e+03,1.00000e+00
4.00548e+03,1.00000e+00
4.00549e+03,1.00000e+00
4.00550e+03,1.00000e+00
4.00551e+03,1.00000e+00
4.00552e+03,1.00000e+00
4.00553e+03,1.00000e+00
4.00554e+03,1.00000e+00
4.00555e+03,1.00000e+00
4.00556e+03,1.00000e+00
4.00557e+03,1.00000e+00
4.00558e+03,1.00000e+00
4.00559e+03,1.00000e+00
4.00560e+03,1.00000e+00
4.00561e+03,1.00000e+00
4.00562e+03,1.00000e+00
4.00563e+03,1.00000e+00
4.00564e+03,1.00000e+00
4.00565e+03,1.00000e+00
4.00566e+03,1.00000e+00
4.00567e+03,1.00000e+00
4.00568e+03,1.00000e+00
4.00569e+03,1.00000e+00
4.00570e+03,1.00000e+00
4.00571e+03,1.00000e+00
4.00572e+03,1.00000e+00
4.00573e+03,1.00000e+00
4.00574e+03,1.00000e+00
4.00575e+03,1.00000e+00
4.00576e+03,1.00000e+00
4.00577e+03,1.00000e+00
4.00578e+03,1.00000e+00
4.00579e+03,1.00000e+00
4.00580e+03,1.00000e+00
4.00581e+03,1.00000e+00
4.00582e+03,1.00000e+00
4.00583e+03,1.00000e+00
4.00584e+03,1.00000e+00
4.00585e+03,1.00000e+00
4.00586e+03,1.00000e+00
4.00587e+03,1.00000e+00
4.00588e+03,1.00000e+00
4.00589e+03,1.00000e+00
4.00590e+03,1.00000e+00
4.00591e+03,1.00000e+00
4.00592e+03,1.00000e+00
4.00593e+03,1.00000e+00
4.00594e+03,1.00000e+00
4.00595e+03,1.00000e+00
4.00596e+03,1.00000e+00
4.00597e+03,1.00000e+00
4.00598e+03,1.00000e+00
4.00599e+03,1.00000e+00
4.00600e+03,1.00000e+00
4.00601e+03,1.00000e+00
4.00602e+03,1.00000e+00
4.00603e+03,1.00000e+00
4.00604e+03,1.00000e+00
4.00605e+03,1.00000e+00
4.00606e+03,1.00000e+00
4.00607e+03,1.00000e+00
